epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.545,0.80821,1.7297,1.04336,0.54397,0.15389,0.2496,0.21872,0.80636,3.82467,0.98299,3.682e-05,3.682e-05,3.682e-05
2,368.18,0.80683,1.67264,0.99649,0.65048,0.21835,0.27732,0.238,0.81415,3.745,0.99572,7.47599e-05,7.47599e-05,7.47599e-05
3,557.872,0.77055,1.47699,0.98949,0.27974,0.3913,0.32725,0.28214,0.801,3.29718,0.99327,0.000111137,0.000111137,0.000111137
4,750.915,0.73036,1.34501,0.98157,0.34766,0.38228,0.30831,0.25466,0.78745,3.47615,0.99246,0.000145953,0.000145953,0.000145953
5,941.96,0.68781,1.24359,0.95123,0.33878,0.20386,0.31438,0.27068,0.77282,3.50583,0.99575,0.000179206,0.000179206,0.000179206
6,1134.28,0.75461,1.24782,0.94686,0.38067,0.30766,0.3322,0.27619,0.78258,3.39103,0.98836,0.000210897,0.000210897,0.000210897
7,1328.07,0.68223,0.97397,0.94198,0.41619,0.21194,0.33137,0.2812,0.78174,3.47042,1.01301,0.000231756,0.000231756,0.000231756
8,1529.35,0.64721,0.99404,0.92767,0.3017,0.2023,0.22555,0.18866,0.7763,3.52906,1.01723,0.000226548,0.000226548,0.000226548
9,1725.72,0.63852,0.94221,0.94091,0.36229,0.18853,0.20875,0.17595,0.79099,3.59471,1.0162,0.000221341,0.000221341,0.000221341
10,1918.05,0.63516,0.90074,0.92449,0.26817,0.19972,0.22108,0.18971,0.76594,3.56733,0.98881,0.000216133,0.000216133,0.000216133
11,2108.33,0.60821,0.81941,0.93053,0.46457,0.19513,0.21311,0.17563,0.79233,3.77791,1.02963,0.000210926,0.000210926,0.000210926
12,2295.08,0.67415,0.91946,0.94043,0.23436,0.2382,0.20514,0.16956,0.76878,3.8309,1.01383,0.000205719,0.000205719,0.000205719
13,2480.12,0.63132,0.81277,0.92062,0.32902,0.23558,0.22307,0.19594,0.74743,3.81055,0.9794,0.000200511,0.000200511,0.000200511
14,2667.37,0.66148,0.88641,0.92977,0.51742,0.19565,0.25505,0.21744,0.77065,3.74551,0.97492,0.000195304,0.000195304,0.000195304
15,2855.23,0.62203,0.79808,0.91259,0.36832,0.19459,0.19295,0.15907,0.76111,3.6241,0.9667,0.000190096,0.000190096,0.000190096
16,3051.95,0.57352,0.70633,0.90211,0.34815,0.17263,0.20608,0.16945,0.80735,3.62344,0.97778,0.000184889,0.000184889,0.000184889
17,3256.09,0.6174,0.73968,0.92797,0.36651,0.19414,0.21498,0.15799,0.91875,3.6296,1.02892,0.000179682,0.000179682,0.000179682
18,3450.8,0.55752,0.66616,0.90167,0.38388,0.22912,0.23096,0.18858,0.81213,3.61151,0.99775,0.000174474,0.000174474,0.000174474
19,3645.87,0.61109,0.7371,0.91385,0.54469,0.17815,0.23633,0.1837,0.80455,3.58382,0.99687,0.000169267,0.000169267,0.000169267
20,3826.77,0.58358,0.65416,0.89455,0.0684,0.56522,0.25097,0.20406,0.81354,3.59099,0.9727,0.000164059,0.000164059,0.000164059
21,4010.97,0.56891,0.67049,0.89799,0.71519,0.13703,0.22537,0.18441,0.81903,3.68196,0.96432,0.000158852,0.000158852,0.000158852
22,4193.79,0.54864,0.64387,0.88518,0.72436,0.13215,0.23143,0.19829,0.81403,3.79234,0.97608,0.000153645,0.000153645,0.000153645
23,4390.08,0.60091,0.66755,0.89795,0.07461,0.54348,0.23956,0.2021,0.80853,3.70974,0.99826,0.000148437,0.000148437,0.000148437
24,4577.78,0.55763,0.62345,0.89229,0.66395,0.1494,0.23217,0.19614,0.83495,3.85332,1.02581,0.00014323,0.00014323,0.00014323
